T1,RH_1,T2,RH_2,T3,RH_3,T4,RH_4,T5,RH_5,T6,RH_6,T7,RH_7,T8,RH_8,T9,RH_9,T_out,Press_mm_hg,RH_out,Windspeed,Visibility,Tdewpoint,Appliances,Lights
19.29,41.4,18.2,41.4,19.7,40.66333333,18.79,38.29,17.6,55.59,0.894444444,95.97777778,19.0,34.7,19.6,41.93333333,17.2,37.79,-0.45,756.9,68.5,2.5,34.5,-5.6,27,1
19.32333333,41.4,18.2,41.4,19.6,40.59,18.79,38.29,17.575,55.5675,0.783333333,95.75611111,19.0,34.66333333,19.6,41.86333333,17.2,37.79,-0.467,756.8666667,69.0,2.333333333,36.33333333,-5.53,35,1
19.32333333,41.4,18.2,41.4,19.6,40.59,18.79,38.23,17.5,55.46666667,0.6333333329999999,95.54428571,19.0,34.59,19.6,41.79,17.2,37.7,-0.483,756.8333332999999,69.5,2.166666667,38.16666667,-5.47,37,1
19.29,41.4,18.2,41.4,19.56666667,40.59,18.79,38.2,17.5,55.38428571,0.495238095,95.46619048,18.96333333,34.48466667,19.6,41.79,17.2,37.7,-0.5,756.8,70.0,2.0,40.0,-5.4,38,1
19.29,41.4,18.2,41.4,19.55,40.6725,18.79,38.2,17.5,55.32666667,0.38888888899999996,95.20222222,18.90222222,34.33277778,19.6,41.79,17.2,37.59,-0.617,756.7666667000001,72.0,2.0,38.16666667,-5.17,41,1
19.29,41.29,18.175,41.475,19.56666667,40.7,18.7,38.16333333,17.5,55.23461538,0.22777777800000001,94.99,18.90833333,34.29,19.6,41.824375,17.2,37.59,-0.733,756.7333332999999,74.0,2.0,36.33333333,-4.93,43,1
19.29,41.29,18.1,41.5,19.6,40.59,18.7,38.09,17.5,55.2,0.0,94.62722222,18.89,34.29,19.56363636,41.86,17.1,37.5,-0.85,756.7,76.0,2.0,34.5,-4.7,44,1
19.29,41.29,18.1,41.56,19.6,40.59,18.7,38.0,17.5,55.17555556,-0.22777777800000001,94.16722222,18.89,34.29,19.525,41.8725,17.1,37.5,-0.9670000000000001,756.6666667000001,78.0,2.0,32.66666667,-4.47,43,1
19.29,41.29,18.1,41.56,19.56666667,40.62666667,18.7,38.06,17.5,55.09,-0.472222222,93.69055556,18.89,34.29,19.5,41.9,17.1,37.4,-1.08,756.6333333,80.0,2.0,30.83333333,-4.23,45,2
19.2,41.2,18.06666667,41.56,19.5,40.7,18.7,38.09,17.39,55.0,-0.6777777779999999,93.22277778,18.82333333,34.36333333,19.5,41.9,17.1,37.4,-1.2,756.6,82.0,2.0,29.0,-4.0,48,2
19.2,41.2,18.0,41.5,19.5,40.7,18.63333333,38.03,17.42666667,54.96666667,-1.026666667,91.05388889,18.79,34.33714286,19.445,41.845,17.1,37.29,-1.33,756.6,82.83333333,2.166666667,28.16666667,-3.98,52,2
19.2,41.2,18.0,41.5,19.5,40.7,18.6,38.045,17.39,54.79,-1.43,89.29,18.79,34.4,19.434,41.833999999999996,17.1,37.29,-1.47,756.6,83.66666667,2.333333333,27.33333333,-3.97,53,2
19.2,41.2,17.92666667,41.5,19.5,40.7,18.6,38.09,17.42,54.79,-1.697222222,88.93888889,18.79,34.4,19.39,41.75,17.06666667,37.26,-1.6,756.6,84.5,2.5,26.5,-3.95,56,2
19.13333333,41.12666667,17.89,41.53,19.5,40.7,18.6,38.09,17.39,54.7,-1.862777778,88.84944444,18.754,34.4,19.39,41.7,17.0,37.2,-1.73,756.6,85.33333333,2.666666667,25.66666667,-3.93,58,2
19.1,41.12666667,17.89,41.59,19.5,40.66333333,18.56666667,38.16333333,17.39,54.678000000000004,-1.998888889,88.81333333,18.7,34.4,19.39,41.7,17.06666667,37.2,-1.87,756.6,86.16666667,2.833333333,24.83333333,-3.92,58,2
19.1,41.12666667,17.89,41.59,19.42666667,40.53,18.5,38.09,17.39,54.59,-2.01,89.59166667,18.7,34.4,19.35666667,41.7,17.0,37.1175,-2.0,756.6,87.0,3.0,24.0,-3.9,64,3
19.1,41.2,17.82333333,41.53,19.39,40.4,18.5,38.12666667,17.39,54.59,-2.0,90.14333333,18.7,34.5,19.29,41.7,17.0,37.09,-2.08,756.6,86.33333333,3.0,24.0,-4.08,65,3
19.1,41.0,17.79,41.56,19.39,40.32666667,18.5,38.2,17.39,54.5675,-2.035,90.44666667,18.7,34.5,19.315,42.0225,17.0,37.12666667,-2.17,756.6,85.66666667,3.0,24.0,-4.27,64,2
19.1,40.93333333,17.79,41.43333333,19.35666667,40.2,18.46333333,38.16333333,17.34,54.5,-2.155,90.73833333,18.6,34.59,19.412,42.196000000000005,17.0,37.2,-2.25,756.6,85.0,3.0,24.0,-4.45,64,2
19.1,41.0,17.79,41.46333333,19.29,40.26,18.39,38.16333333,17.29,54.5,-2.2911111109999998,90.71111111,18.6,34.59,19.56666667,42.46666667,17.0,37.29,-2.33,756.6,84.33333333,3.0,24.0,-4.63,67,2
19.1,41.19333333,17.79,41.59,19.29,40.23,18.39,38.2,17.29,54.43333333,-2.398888889,90.58111111,18.6,34.7,19.73,42.82666667,17.0,37.29,-2.42,756.6,83.66666667,3.0,24.0,-4.82,64,2
19.1,41.46666667,17.92666667,41.86,19.29,40.29,18.39,38.2,17.29,54.4,-2.529444444,90.26611111,18.53333333,34.7,19.865,43.0425,16.96333333,37.29,-2.5,756.6,83.0,3.0,24.0,-5.0,68,2
19.23,41.56666667,18.06666667,42.06,19.39,40.2,18.35666667,38.32666667,17.29,54.4,-2.6694444440000002,89.98611111,18.6,34.79,19.92666667,43.26666667,16.89,37.29,-2.5,756.65,82.16666667,3.0,24.5,-5.13,68,2
19.35666667,41.96,18.13333333,41.93333333,19.39,40.05,18.29,38.4,17.29,54.33,-2.7,90.15111111,18.51666667,34.88166667,20.0375,43.485,16.89,37.29,-2.5,756.7,81.33333333,3.0,25.0,-5.27,68,3
19.69666667,42.72333333,18.2925,42.27,19.53,40.13333333,18.29,38.43333333,17.29,54.29,-2.745,90.01722222,18.5,34.8725,20.01818182,43.37818182,16.89,37.29,-2.5,756.75,80.5,3.0,25.5,-5.4,63,3
19.96333333,42.53,18.46333333,42.63333333,19.63333333,40.33,18.29,38.5,17.37272727,56.90090909,-2.857222222,89.86111111,18.48,34.88,19.9725,43.333125,16.89,37.3,-2.5,756.8,79.66666667,3.0,26.0,-5.53,64,2
20.1,42.1,18.7,42.46666667,19.7,40.59,18.29,38.5,17.95076923,72.87153846,-2.933333333,89.87222222,18.48,34.88,20.02727273,43.74545455,16.96333333,37.96666667,-2.5,756.85,78.83333333,3.0,26.5,-5.67,59,1
20.1,41.82666667,18.76,42.52666667,19.7,40.59,18.29,38.5,18.0,70.1975,-2.972222222,89.72777778,18.5,34.85555556,20.13333333,43.83,17.0,39.36,-2.5,756.9,78.0,3.0,27.0,-5.8,58,1
20.13333333,41.9,18.92666667,42.79666667,19.76,40.99666667,18.26,38.43,18.3,72.745,-3.03,89.67444444,18.37714286,34.12571429,20.18571429,43.27714286,17.06666667,40.1,-2.58,756.8833333,78.83333333,2.833333333,26.5,-5.75,61,2
20.2,41.69333333,19.06666667,42.53,20.06666667,42.73333333,18.2,38.2225,19.62333333,84.96666667,-3.06,89.91055556,18.29,33.49,20.13333333,42.93,17.06666667,39.86333333,-2.67,756.8666667,79.66666667,2.666666667,26.0,-5.7,79,2
20.29,41.36333333,19.2,41.92333333,20.32666667,43.8,18.4,38.73333333,19.02333333,86.56666667,-3.06,90.04611111,18.29,33.15666667,20.13333333,43.2,17.0,39.39,-2.75,756.85,80.5,2.5,25.5,-5.65,75,2
20.365,40.8925,19.26,41.39,20.56666667,44.39,19.02333333,38.96666667,18.575,86.875,-3.127777778,89.455,18.26,32.79666667,20.2,43.08,17.0,38.9,-2.83,756.8333332999999,81.33333333,2.333333333,25.0,-5.6,78,2
20.46333333,40.76666667,19.39,41.06,20.76,46.05666667,19.49666667,38.69333333,18.42666667,86.46444444,-3.21,89.23666667,18.2,32.42285714,20.22571429,42.72928571,16.92666667,38.36666667,-2.92,756.8166667,82.16666667,2.166666667,24.5,-5.55,87,3
20.5,40.7,19.46333333,40.93333333,20.79,46.83333333,20.13,38.1,18.31,85.454,-3.3216666669999997,88.745,18.2,32.22285714,20.2,42.59,16.89,38.09,-3.0,756.8,83.0,2.0,24.0,-5.5,90,4
20.56666667,40.62666667,19.5,40.63333333,20.93,46.62666667,20.59666667,37.69333333,18.29,84.26666667,-3.456666667,87.905,18.2,31.96333333,20.33,42.58,16.89,37.87,-3.17,756.7666667000001,83.5,2.0,23.33333333,-5.6,92,4
20.6,40.4,19.56666667,40.43333333,21.13333333,46.12333333,21.09666667,37.36333333,18.23,83.32666667,-3.672222222,86.80944444,18.13333333,31.82333333,20.39,42.13333333,16.82333333,37.39,-3.33,756.7333332999999,84.0,2.0,22.66666667,-5.7,102,5
20.66666667,40.26666667,19.6,40.02666667,21.26,45.39666667,21.49666667,37.09666667,18.16666667,82.29,-3.897222222,85.87388889,18.1,31.63333333,20.32333333,42.13333333,16.85666667,37.1,-3.5,756.7,84.5,2.0,22.0,-5.8,99,6
20.73,39.63333333,19.67272727,39.63818182,21.13333333,44.13,21.79,37.09,18.05454545,80.15363636,-4.015,86.00555556,18.1,31.39333333,20.34,42.02833333,16.79,36.76666667,-3.67,756.6666667000001,85.0,2.0,21.33333333,-5.9,103,6
20.79,39.36,19.7,39.19666667,20.92666667,43.33,21.73,36.83,18.0,78.31916667,-4.07,86.25722222,18.01111111,31.16555556,20.29,41.82666667,16.82333333,37.13333333,-3.83,756.6333333,85.5,2.0,20.66666667,-6.0,105,6
20.76,38.79666667,19.7,38.63333333,20.79,42.56333333,21.43,36.63333333,17.89,75.43333333,-4.193888889,85.62222222,18.0,31.03333333,20.29,41.82666667,16.89,38.33333333,-4.0,756.6,86.0,2.0,20.0,-6.1,88,4
20.76,38.46333333,19.7,38.36166667,20.73,42.03,21.23,36.36,17.89,73.22666667,-4.4,84.61222222,18.0,30.89,20.29,41.9,17.0,39.09666667,-4.15,756.6,86.33333333,1.8333333330000001,27.33333333,-6.18,90,3
20.76,38.29,19.7,38.23,20.6,41.7,21.06666667,36.62666667,17.85,71.17399999999999,-4.546666667,84.25444444,18.0,31.31,20.2,42.03,17.06666667,39.43,-4.3,756.6,86.66666667,1.6666666669999999,34.66666667,-6.27,96,4
20.7,38.29,19.7,38.36,20.525,41.65,20.92666667,36.83333333,17.775,69.195,-4.879444444,82.53777778,18.0,31.93,20.2,42.24,17.0,39.4,-4.45,756.6,87.0,1.5,42.0,-6.35,95,5
20.7,38.32666667,19.7,38.56,20.5,41.5,20.85666667,37.09,17.73,68.5,-5.216111111,81.63277778,18.0,32.25,20.2,42.558,17.0,39.4,-4.6,756.6,87.33333333,1.333333333,49.33333333,-6.43,93,5
20.7,38.46666667,19.7,38.73,20.39,41.36333333,20.73,37.16333333,17.7,67.76666667,-5.250555556,82.85111111,18.0,32.52666667,20.2,42.93,17.0,39.4,-4.75,756.6,87.66666667,1.166666667,56.66666667,-6.52,86,4
20.66666667,38.59,19.625,38.8175,20.32333333,41.23,20.66666667,37.43333333,17.7,67.36666667,-5.063888888999999,84.43333333,18.0,32.73,20.2,43.12666667,17.0,39.32666667,-4.9,756.6,88.0,1.0,64.0,-6.6,82,4
20.6,38.66333333,19.53333333,38.96666667,20.29,41.02666667,20.6,37.56,17.7,66.99333333,-5.3488888889999995,82.93388889,18.0,32.86333333,20.2,43.33333333,17.0,39.26,-4.83,756.6,87.83333333,1.0,64.16666667,-6.55,73,3
20.6,38.79,19.46333333,39.03,20.23,40.82666667,20.56666667,37.73,17.63333333,66.6,-5.549444444,82.44166667,18.0,33.09,20.2,43.53,16.92666667,39.2,-4.77,756.6,87.66666667,1.0,64.33333333,-6.5,66,3
20.53333333,38.86333333,19.39,39.09,20.2,40.7,20.5,37.86333333,17.6,66.18285714,-5.674444444,82.66555556,18.0,33.20555556,20.15,43.59,16.89,39.09,-4.7,756.6,87.5,1.0,64.5,-6.45,59,3
20.5,38.93333333,19.35666667,39.15666667,20.13333333,40.62666667,20.39,38.0,17.6,65.813125,-5.799444444,82.71277778,18.0,33.36764706,20.1,43.76,16.89,39.09,-4.63,756.6,87.33333333,1.0,64.66666667,-6.4,60,3
20.5,39.06,19.29,39.29,20.06666667,40.46666667,20.35666667,38.12666667,17.6,65.54357143,-5.872222222,82.655,18.0,33.4,20.1,43.86333333,16.89,39.09,-4.57,756.6,87.16666667,1.0,64.83333333,-6.35,59,3
20.39,39.09,19.2,39.23,20.0,40.32666667,20.29,38.26,17.55555556,65.23333333,-5.8888888889999995,82.81611111,17.97555556,33.48333333,20.1,43.99375,16.89,39.09,-4.5,756.6,87.0,1.0,65.0,-6.3,57,2
20.39,39.2,19.13333333,39.36333333,19.96333333,40.29,20.26,38.4,17.53333333,64.944,-6.03,82.09444444,17.96857143,33.51928571,20.06,44.036,16.85666667,39.06,-4.52,756.6,87.66666667,1.0,65.0,-6.23,56,2
20.32333333,39.2,19.06666667,39.36333333,19.89,40.29,20.2,38.4,17.5,64.64714286,-6.065,82.56055556,17.95769231,33.57615385,20.06,44.31399999999999,16.84,39.045,-4.53,756.6,88.33333333,1.0,65.0,-6.17,56,2
20.29,39.53,19.0,39.29,19.85666667,40.22333333,20.1,38.53,17.5,64.51722222,-6.028333333,83.58944444,17.938125,33.63125,20.1,44.624375,16.79,39.06,-4.55,756.6,89.0,1.0,65.0,-6.1,57,2
20.23,39.46333333,18.89,39.26,19.79,40.09,20.03333333,38.59,17.47555556,64.19555556,-5.843888889,84.93111111,17.91444444,33.69388889,20.1,44.715,16.89,39.23,-4.57,756.6,89.66666667,1.0,65.0,-6.03,58,2
20.2,39.4,18.89,39.26,19.79,40.09,19.85666667,38.56,17.46333333,63.885,-5.71,85.35444444,17.90833333,33.7,20.1,44.82055556,16.89,39.36333333,-4.58,756.6,90.33333333,1.0,65.0,-5.97,59,2
20.13333333,39.4,18.76,39.09,19.73,40.09,19.79,38.5,17.445,63.67166667,-5.601111111,85.49777778,17.89611111,33.7,20.03888889,44.77777778,16.79,39.43333333,-4.6,756.6,91.0,1.0,65.0,-5.9,60,2
20.1,39.29,18.7,39.09,19.7,40.09,19.7,38.5,17.39,63.44333333,-5.612222222000001,85.31444444,17.89,33.7,20.0,44.7,16.79,39.56,-4.55,756.5333333,90.5,1.0,57.5,-5.92,59,2
20.1,39.23,18.66666667,39.06,19.76,40.22333333,19.63333333,38.43333333,17.39,63.29333333,-5.555,85.39944444,17.89,33.735,19.90833333,44.7,16.89,39.7,-4.5,756.4666667,90.0,1.0,50.0,-5.93,55,2
20.0,39.2,18.6,39.06,19.79,40.32666667,19.5,38.4,17.37888889,63.145,-5.52,85.515,17.89,33.81444444,19.85666667,44.715,16.82333333,39.7,-4.45,756.4,89.5,1.0,42.5,-5.95,55,2
20.0,39.2,18.56666667,39.0,19.815,40.425,19.5,38.46666667,17.37888889,62.95777778,-5.461111111,85.70277778,17.89,33.8,19.79555556,44.77833333,16.89,39.82666667,-4.4,756.3333332999999,89.0,1.0,35.0,-5.97,54,2
19.89,39.2,18.5,39.06,19.89,40.5,19.39,38.43333333,17.35666667,62.79,-5.4,85.96722222,17.83444444,33.82666667,19.79,44.92777778,16.89,39.96666667,-4.35,756.2666667000001,88.5,1.0,27.5,-5.98,54,2
19.89,39.2,18.46333333,39.06,19.89,40.5,19.32333333,38.5,17.31777778,62.67222222,-5.3833333329999995,86.02166667,17.80111111,33.80222222,19.79,45.06611111,16.79,39.9,-4.3,756.2,88.0,1.0,20.0,-6.0,54,2
19.79,39.09,18.39,39.0675,19.89,40.56,19.26,38.46666667,17.29,62.52833333,-5.322222222,86.16166667,17.80666667,33.83888889,19.79,45.24777778,16.85666667,40.02666667,-4.33,756.25,88.5,1.0,27.33333333,-5.97,54,2
19.79,39.09,18.32333333,39.09,19.79,40.4,19.2,38.4,17.29,62.31444444,-5.338888889,85.76222222,17.79,33.82666667,19.755,45.30833333,16.82333333,40.12666667,-4.37,756.3,89.0,1.0,34.66666667,-5.93,56,2
19.7,39.09,18.35666667,39.12666667,19.79,40.4,19.16666667,38.4,17.29,62.155,-5.35,85.59444444,17.79,33.9,19.7,45.4,16.89,40.26,-4.4,756.35,89.5,1.0,42.0,-5.9,55,2
19.7,39.09,18.29,39.2,19.79,40.4,19.1,38.4,17.29,61.97,-5.327777778,85.48555556,17.79,33.86944444,19.7,45.49833333,16.79,40.29,-4.43,756.4,90.0,1.0,49.33333333,-5.87,54,2
19.66666667,39.06,18.2,39.2,19.79,40.46666667,19.03333333,38.4,17.28,61.765,-5.3888888889999995,85.05722222,17.79,33.85722222,19.7,45.58,16.79,40.36333333,-4.47,756.45,90.5,1.0,56.66666667,-5.83,55,2
19.6,39.0,18.2,39.2,19.79,40.5,19.0,38.29,17.235,61.57,-5.338888889,85.49444444,17.755,33.87555556,19.7,45.505,16.79,40.43333333,-4.5,756.5,91.0,1.0,64.0,-5.8,55,2
19.55,38.95,18.1,39.26,19.79,40.5,18.92666667,38.29,17.21,61.38833333,-5.3,85.72666667,17.755,33.9,19.7,45.5,16.79,40.5,-4.43,756.45,90.66666667,1.0,64.0,-5.78,56,2
